article,chunk_number,context,question,answer
الخيمياء والكيمياء في عصر الحضارة الإسلامية,1,"يقول الخوارزمي في كتابه مفاتيح العلوم:
 وتدل هذه التسمية على دراسة كل من الخيمياء (الكيمياء القديمة) والكيمياء العملية الحديثة من قبل العلماء المسلمين والعالم الإسلامي خلال القرون الوسطى. وكلمة خيمياء (بالإنجليزية: Alchemy)‏ نفسها مستمدة من الكلمة العربية «الكيمياء».
 بعد سقوط الإمبراطورية الرومانية، انتقل وتركز التطوير الكيميائي في الإمبراطورية العربية والحضارة الإسلامية. إن الكثير مما هو معروف عن الخيمياء الإسلامية مصدره في الحقيقة من الكتابات المنحدرة عبر السنين والمحفوظة كترجمات عربية.[1]
كثيرًا ما تداخلت دراسة الخيمياء والكيمياء في العهود الأولى من عمر العالم الإسلامي، ولكن ظهرت في وقت لاحق نزاعات بين الخيميائيين التقليديين والكيميائيين العمليين الذين رفضوا تصديق الخيمياء. يعتبر الكيميائيون والخيميائيون المسلمون هم أول من استخدم المنهج العلمي التجريبي (كما يمارس في الكيمياء الحديثة)، في حين وضع الخيميائيين المسلمين نظريات عن تحويل الفلزات، وحجر الفلاسفة، والتكوين (حياة اصطناعية للحياة في المختبر) كما هو الحال بالنسبة للخيمياء في القرون الوسطى في أوروبا، على الرغم من أن هذه النظريات الخيميائية رُفضت من قبل الكيميائيين المسلمين العمليين في القرن التاسع وما بعده.
 وقد عرف المسلمون أعمال الخيميائيين المكتوبة باليونانية، وكانت في الغالب تعنى بالمعادن ولاسيما محاولة إنتاج الذهب من فلزات خسيسة، أو بفكرة إطالة العمر والمحافظة على الشباب. خلال القرن الثامن الميلادي برزت شخصية جابر بن حيان (حوالي سنة 815 م) والذي يُعد أعظم الخيميائيين العرب وينسب إليه نحو خمسمائة كتاب يتناول الكثير منها الموضوعين المذكورين (إنتاج الذهب وإطالة العمر)",من هو الشخص الذي يعتبر أعظم الخيميائيين العرب خلال القرن الثامن الميلادي؟,الشخص الذي يعتبر أعظم الخيميائيين العرب خلال القرن الثامن الميلادي هو جابر بن حيان.
الخيمياء والكيمياء في عصر الحضارة الإسلامية,2,"العالم بن زكريا الرازي ذو المقدرة العقلية الفائقة، والذي تحول من الخيمياء النظرية إلى الكيمياء العملية كما يتجلى في كتابه «الأسرار» الذي كشف فيه عن إنكاره لمحاولات إنتاج الذهب والفضة أو إطالة العمر، أما أشهر المؤلفات الكيميائية بعد ذلك هي تلك المنسوبة للعالم الأندلسي مسلمة بن أحمد المجريطي (حوالي سنة 1008 م)، ثم كتاب أيدمر الجلدكي المصري (قرابة سنة 1342 م)، وظلت كل هذه الكتب المرجع الأساسي للأوروبيين حتى وقت قريب من العصر الحديث.[2]
 شرح الرازي في كتابه «الأسرار» ما كان يستعمله في معمله من مواد وأجهزة وآلات انتقل الكثير منها في الترجمات الأوروبية بأسمائها العربية، شملت العمليات التي أجراها الرازي: التقطير والتكليس والتذويب والتبخير والبلورة والتصعيد والترشيح والتشميع. أما فيما يتعلق بالكيمياء الصناعية فيتبين أن العرب قد سبقوا الأوروبيين بقرون في تقطير الكحول واستخلاص مختلف أنواع الزيوت وصناعات العطور واستخراج النفط وتكريره (قبل أن يحظى بأهميته العالمية) وتحضير الحوامض والقلويات.[2]
","من هو العالم الذي تحول من الخيمياء النظرية إلى الكيمياء العملية وكتب كتاب ""الأسرار""؟",العالم هو بن زكريا الرازي.
الخيمياء والكيمياء في عصر الحضارة الإسلامية,3," كما طوّر جابر علم الأعداد وبموجبها فإن جذر الكلمة لإسم المادة في العربية عندما يعامل مع مختلف التحولات يبقى موافقًا للخواص الفيزيائية للعنصر.
 وضع جابر بن حيان أيضًا نظام العناصر المستخدم في خيمياء القرون الوسطى. يتألف نظامه الأصلي من سبعة عناصر تشمل العناصر التقليدية الخمسة (الأثير، والهواء، والأرض، والنار، والماء) بالإضافة إلى اثنين من العناصر الكيميائية التي تمثل المعادن وهما: الكبريت (الحجر الذي يحترق أو الذي يصف مبدأ الاحتراق) والزئبق (الذي يتضمن المبدأ المثالي للخواص المعدنية). تطور هذا النظام بعد ذلك بوقت قصير ليشمل ثمانية عناصر مع الاحتفاظ بالمفهوم العربي للمبادئ المعدنية الثلاث: الكبريت يعطي القابلية للاشتعال أو الاحتراق، الزئبق يعطي التقلب والاستقرار، والملح يعطي الصلابة.",ما هو النظام الذي وضعه جابر بن حيان للعناصر في خيمياء القرون الوسطى؟,"نظام جابر بن حيان الأصلي يتألف من سبعة عناصر تشمل العناصر التقليدية الخمسة (الأثير، والهواء، والأرض، والنار، والماء) بالإضافة إلى اثنين من العناصر الكيميائية التي تمثل المعادن وهما: الكبريت والزئبق. "
الخيمياء والكيمياء في عصر الحضارة الإسلامية,4," أما الكندي الذي كان كيميائيًا معارضًا للخيمياء، فكان أول من دحض دراسة الخيمياء التقليدية ونظرية تحويل الفلزات إلى أكثر المعادن النفيسة مثل الذهب أو الفضة.[16] ومثله كل من أبو الريحان البيروني،[17] وابن سينا،[18] وابن خلدون، الذين عارضوا الخيمياء ودحضوا نظرية تحويل المعادن.
 اشتهر أيضًا كيميائي مسلم آخر حظي بتأثير كبير وهو الرازي. ففي تقريره «شكوك حول جالينوس»، كان الرازي أول من أثبت خطأ نظرية أرسطو للعناصر التقليدية ونظرية جالينوس للأخلاط على حد سواء باستخدام طريقة تجريبية. فأجرى تجربة كان من شأنها قلب هذه النظريات عن طريق إضافة سائل بدرجات حرارة مختلفة إلى جسم ما، مما يؤدي إلى زيادة أو نقصان حرارة الجسم، بحيث تشبه درجة حرارة ذلك السائل الخاص. لاحظ الرازي بصفة خاصة أن الشراب الحار يسخن الجسم إلى درجة أعلى بكثير من درجة حرارته الطبيعية.",من هو الكيميائي الذي كان معارضًا للخيمياء ودحض نظرية تحويل الفلزات إلى الذهب أو الفضة؟,الكندي.
الخيمياء والكيمياء في عصر الحضارة الإسلامية,6," عشر، اخترع ابن سينا ملف التبريد، الذي يكثف الأبخرة العطرية.[33][34] وكان هذا الملف سابقة في تقنية التقطير، واستخدمه في عملية تقطير البخار، الأمر الذي يتطلب أنابيب مبردة، لإنتاج الزيوت العطرية.[30]
 اخترع الكيميائيون والمهندسون المسلمون القرع والأثل، والمعدات اللازمة لصهر المعادن مثل الأفران والبوتقات.[27]
 وفي كتابه سر الأسرار، وصف الرازي الأدوات التالية التي اخترعها هو وأسلافه (خالد، وابن حيان، والكندي) والمستخدمة في صهر المواد: الكور (الموقد)، المنفاخ أو الكير، البوتقة، أداة الصب، الملقط أو الماسك، المقص أو المقطع، المطرقة أو المكسر، والمبرد[؟].[26]
 كما وصف الرازي الأدوات التالية أيضًا لتحضير الأدوية أو لتدبير العقاقير: القرع والمقطرة مع أنبوب تفريغ (قرع مع إنبيق ذو خاتم)، حوجلة للتجميع (قابلة)، والمقطرة العمياء بدون أنبوب التفريغ (الإنبيق الأعمى)، الأثل، الكأس أو القدح[؟]، القارورة، قارورة ماء الورد (ماوردية)، المرجل أو طِنجير، القدر أو الطِنجير، حمام مائي أو رملي (القدر)، فرن أو تنور، مستوقد (وهو فرن إسطواني لتسخين الأثل)، قمع، منخل، مرشح[؟][26]
 ومن هذه القائمة، طور جابر بن حيان أكثر من 20 من هذه الأجهزة الكيميائية.[35]",ما هي الأدوات التي وصفها الرازي واستخدمت في صهر المواد؟,"الأدوات التي وصفها الرازي واستخدمت في صهر المواد هي الكور (الموقد)، المنفاخ أو الكير، البوتقة، أداة الصب، الملقط أو الماسك، المقص أو المقطع، المطرقة أو المكسر، والمبرد."
الخيمياء والكيمياء في عصر الحضارة الإسلامية,7," لا يُعرف عند القدماء سوى حمض وحيد وهو الخل. يعتبر العلماء المسلمون هم أول من اكتشف وعزل عدة حموض جديدة، مثل حمض النتريك وحمض الكبريت باستخدام أجهزة جديدة مثل الإنبيق، وبعمليات كيميائية مثل التقطير الخاص.[12] صنع جابر بن حيان أهم الحموض المعدنية مثل حمض النتريك وحمض الكبريت وحمض الهيدروكلوريك، وبقيت من أهم المركبات في الصناعة الكيميائية لأكثر من ألف عام.[27] قام ابن حيان أيضًا بتركيز حمض الخل من الخل باستخدام عملية التقطير في القرن الثامن.[8][42]
كما يُنسب إليه اكتشاف حمض الستريك، وحمض الطرطير.[8]
 اكتشف جابر بن حيان العديد من العناصر الكيميائية: الزرنيخ، الإثمد، والبزموت.[12][35][43] وكان ابن حيان أيضًا أول من صنف الكبريت («الحجر الذي يشتعل»، وهو توصيف لمبدأ الاحتراقية) والزئبق (الذي يحتوي المبدأ المثالي للخواص المعدنية) كعناصر كيميائية.[44] وهو أول من نقى الرصاص والقصدير وميزهما عن بعضهما.[45]
 كتب الرازي في القرن العاشر أنه وأسلافه (خالد، وجابر بن حيان، والكندي) اخترعوا المواد الكيميائية المشتقة والاصطناعية التالية: أكسيد الرصاص الثنائي (Pbo)، أكسيد الرصاص الأحمر (Pb3O4)، أكسيد القصدير الثنائي، خلات النحاس الثنائي (خلات نحاس ثنائي، زانيار)، أكسيد النحاس الثنائي (CuO)، كبريتيد الرصاص، أكسيد الزنك (ZnO)، أكسيد البزموت، أكسيد الإثمد، صدأ الحديد، خلات الحديد[؟]، الدوس (أصل الفولاذ)، الزنجفر (كبريتيد الزئبقيك، HgS)، أكسيد الزرنيخ الثلاثي (As2O3)، كربونات الكالسيوم (القلي)، هيدروكسيد الصوديوم (الصودا الكاوية)","من هو العالم الذي وُصف بأنه أول من اكتشف وعزل عدة حموض جديدة، مثل حمض النتريك وحمض الكبريت؟",العالم الذي وُصف بأنه أول من اكتشف وعزل عدة حموض جديدة مثل حمض النتريك وحمض الكبريت هو جابر بن حيان.
الخيمياء والكيمياء في عصر الحضارة الإسلامية,8," تمكن الكيميائيون المسلمون من عزل الإيثانول (الكحول) كمركب صافي بعد تطوير عملية التقطير خلال عهد الخلافة العباسية، ومن أشهر هؤلاء العلماء جابر بن حيان، الكندي، والرازي. ذكرت كتابات ابن حيان (721-815) الأبخرة القابلة للاشتعال للنبيذ المغلي. وقد وصف الكندي (801-873) بشكل جلي تقطير النبيذ.[47] وقد يعود هذا إلى هدف فصل المواد الكحولية من المشروبات بسبب حرمة استهلاكها في الشريعة الإسلامية.
 وقد كان الكيميائيون المسلمون أول من أنتج الكحول المقطر المنقى منذ القرن الثامن وحتى القرن العاشر، لاستخدامه في الصناعات الدوائية والكيميائية.[21][27]
 وقد كتب العالم السوري أحمد يوسف الحسن:[47]
 اكتشف الكيميائيون والأطباء المسلمون وأنتجوا على الأقل 2000 مادة دوائية للاستخدام في الطب والعلوم الصيدلية.[48]
 صنف الرازي في القرن العاشر المواد الكيميائية الطبيعية التي اكتشفها بنفسه وتلك التي اكتشفها العلماء المسلمون قبله (وبشكل أساسي خالد، وابن حيان، والكندي، والتميمي) كما يلي:
 ذكر الرازي أن المادة النباتية الوحيدة التي استخدمها الكيميائيون المسلمون هي نبات الأشنان التي استخرجوا منها الأملاح القلوية. وقد عد الرازي أيضًا قائمة من عشرة أعضاء حيوانية كان يستخدمها هو ومن سبقه، وهي: الشعر، الجمجمة، الدماغ، الصفراء (عصارة المرارة)، البيض، عرق اللؤلؤ، والقرون، وكتب أن الشعر، والدماغ، والصفراء، والبيض، والجماجم والدم تستخدم لتحضير ملح النشادر.[46]
 ",من هم العلماء الذين تمكنوا من عزل الإيثانول كمركب صافي خلال عهد الخلافة العباسية؟,"العلماء الذين تمكنوا من عزل الإيثانول كمركب صافي خلال عهد الخلافة العباسية هم جابر بن حيان، الكندي، والرازي."
الخيمياء والكيمياء في عصر الحضارة الإسلامية,9," كان استخدام الخزف المزجج سائدًا في الفن الإسلامي من القرن الثامن وحتى القرن الثامن عشر. وعادة ما كانت تتخذ شكلاً من أشكال الفخار المصقول.[50] وقد كان تعتيم الخزف باستعمال أكسيد القصدير[؟]، وهو إحدى التقنيات الجديدة التي طورها الخزافون المسلمون. أول خزف معتم وجد في البصرة وكان ملون باللون الأزرق ويعود تاريخه إلى القرن الثامن. والمساهمة الكبيرة الأخرى كانت تطوير الخزف المطعم بالإحجار، ويعود إلى القرن التاسع في العراق.[51] تأسس أول مجمع صناعي لإنتاج الزجاج والخزف في مدينة الرقة في سورية في القرن الثامن.[52] كما أقيمت مراكز أخرى لصناعة الخزف والفخار في العالم الإسلامي، بما فيها الفسطاط (من سنة 975 إلى سنة 1075م)، ودمشق (من سنة 1100 إلى قرابة عام 1600م) وتبريز (من سنة 1470 إلى سنة 1550م).[53]
  ",متى بدأ استخدام الخزف المزجج في الفن الإسلامي؟,بدأ استخدام الخزف المزجج في الفن الإسلامي من القرن الثامن وحتى القرن الثامن عشر.
الخيمياء والكيمياء في عصر الحضارة الإسلامية,10," في القرن الثامن؛ كانت شوارع بغداد أول ما رصف باستخدام القار المستخرج من النفط عن طريق التقطير الإتلافي. وفي القرن التاسع، بدأ استغلال حقول النفط في المنطقة المحيطة بمدينة باكو الحديثة في أذربيجان لإنتاج النفط الخفيف (النافثا). وُصفت هذه الحقول من قبل المسعودي في القرن العاشر، ومن قبل ماركو بولو في القرن الثالث عشر، الذي قال أن حصيلة آبار النفط هذه تصل إلى المئات من حمولات السفن.[21]
 كان الكيميائيون المسلمون أول من أنتج البنزين من النفط الخام، وذلك باستخدام عملية التقطير.[58]
 وقد أنتج الكيروسين بتقطير النفط، وكان أول من وصف العملية هو الرازي في القرن التاسع في بغداد. ففي كتاب الأسرار، وصف طريقتان لإنتاج الكيروسين، الأولى تستخدم الصلصال بوصفه مادة ماصة، بينما تستخدم الأخرى كلوريد الأمونيوم (ملح النشادر). كما وصف الرازي مصابيح الكيروسين التي كانت تستخدم للتدفئة والإنارة في كتابه المسمى «كتاب الأسرار».[59] أما ابن سينا فكان أول من أنتج الزيوت العطرية في مطلع القرن الحادي عشر باستخدام التقطير بالبخار لاستعمالها في طب الروائح والمشروبات والعطارة.[30]
 أنتج ماء الورد لأول مرة من قبل الكيميائيين المسلمين من خلال تقطير الورود، بغرض استخدامه في المشروبات والعطارة.[27]
",من هو العالم الذي وصف أولاً طريقة إنتاج الكيروسين من النفط الخام؟,العالم الذي وصف أولاً طريقة إنتاج الكيروسين من النفط الخام هو الرازي.
الخيمياء والكيمياء في عصر الحضارة الإسلامية,11,"ها أحد أنواع التوت[؟]. قام خالد بغلي هذا التوت فصنع منه أول قهوة. ومما هو مؤكد، أن أول توثيق لهذا الشراب كان عند تصدير بعض حبوب البن من اليمن إلى إثيوبيا، حيث كان متعبدي الصوفية يشربون منه ليبقوا مستيقظين طوال الليل للصلاة في المناسبات الخاصة.
 بحلول أواخر القرن الخامس عشر، وصلت هذه الحبوب إلى مكة وتركيا ووجدت طريقها إلى مدينة البندقية في سنة 1645م. وجُلبت إلى إنكلترا في سنة 1650م من قبل اليوناني باسكوا روزي الذي افتتح أول مقهى في شارع لومبارد في مدينة لندن. يُشتق اسم القهوة باللغة التركية ""kahve""، وبالإيطالية ""caffè"" من اسمها العربي، وكذلك الحال بالنسبة لاسمها باللغة الإنكليزية ""coffee""، إلا أنه اشتقاق غير مباشر، إذ أن هذا الاسم يُشتق من الاسم الإيطالي المشتق من الاسم العربي.[11][60]
 يعتبر الكيميائيين المسلمين أول من أنتج الماء المقطر والماء المنقى المستخدمين في أنظمة توريد المياه ومن أجل الرحلات الطويلة عبر الصحاري، حيث تكون مصادر الماء غير مضمونة.[29]
",ما هو الشراب الذي أنتجه خالد من التوت وأين تم توثيقه لأول مرة؟,"الشراب الذي أنتجه خالد من التوت هو القهوة، وتم توثيقها لأول مرة عند تصدير بعض حبوب البن من اليمن إلى إثيوبيا."
